Address,Address - Zip Code,# of Garage Spaces,Bathrooms - Full,Bathrooms - Half,Bedrooms,HOA Dues,Listing Price,Price_Per_SQFT_LISTING,Lot Size - Sq Ft,Listing Date,Pending Date,Pool,Selling Date,Selling Price,Selling_Price_Per_Sqft,Square Footage,Year Built
"1620 Bird Ln Lodi, CA 95242-3915",95242,2,2,0,3,0,289000,157.15,5227,4/15/2010,5/12/2010,NONO,5/28/2010,237500,129.1462751,1839,2005
"326 Mendocino Dr Lodi, CA 95240-6262",95240,2,2,0,3,0,179000,152.47,4792,3/24/2010,6/4/2010,NONO,7/21/2010,179000,152.4701874,1174,1981
"1406 Graffigna Ave Lodi, CA 95242-2461",95242,2,2,0,3,0,185130,110.39,6098,3/25/2010,4/15/2010,NONO,6/6/2010,178000,106.1419201,1677,2004
"1705 Cape Cod Cir Lodi, CA 95242-4202",95242,2,2,1,3,250,309900,133.87,6098,3/27/2010,4/28/2010,NONO,5/19/2010,305000,131.74946,2315,1986
"905 S Pleasant Ave Lodi, CA 95240-4737",95240,2,1,0,2,0,138500,116.88,5663,10/1/2009,6/1/2010,NONO,6/18/2010,129000,108.8607595,1185,1948
"2535 Potomac Way Lodi, CA 95242-4770",95242,3,2,0,3,0,199900,126.12,5663,4/21/2010,12/28/2010,NONO,1/28/2011,220000,138.8012618,1585,2004
"1232 S Church St Lodi, CA 95240-5714",95240,2,2,0,3,0,164900,115.4,6970,4/22/2010,6/29/2010,NONO,8/18/2010,164900,115.3953814,1429,1947
"1101 Holly Dr Lodi, CA 95240-1623",95240,1,1,0,3,0,145000,139.16,5227,4/26/2010,6/10/2010,NONO,6/29/2010,148000,142.0345489,1042,1956
"228 Lambert Ct Lodi, CA 95240-6213",95240,2,1,0,2,0,62900,74.09,2614,4/28/2010,5/28/2010,NONO,6/29/2010,60000,70.67137809,849,1976
"331 N Pleasant Ave Lodi, CA 95240-1133",95240,2,1,0,2,0,145000,180.8,4792,4/29/2010,5/3/2010,NONO,6/4/2010,145000,180.798005,802,1958
"1812 Mariposa Way Lodi, CA 95242-2537",95242,2,1,0,2,0,121900,103.83,5227,4/30/2010,1/11/2011,NONO,2/3/2011,119000,101.362862,1174,1967
"1536 Burgundy Dr Lodi, CA 95242-4508",95242,2,2,0,3,0,169900,113.65,6098,5/29/2010,11/22/2010,NONO,1/5/2011,165000,110.367893,1495,1983
"1105 Dover Dr Lodi, CA 95242-3814",95242,2,2,0,3,0,164900,133.41,4792,6/1/2010,8/23/2010,NONO,9/27/2010,162000,131.0679612,1236,1973
"717 Westwood Ave Lodi, CA 95242-2460",95242,1,1,0,3,0,145000,107.65,7405,4/28/2010,2/3/2011,NONO,2/25/2011,145000,107.6466221,1347,1951
"933 S Mills Ave Lodi, CA 95242-3832",95242,2,2,0,3,0,189950,125.79,7405,5/1/2010,10/3/2010,NONO,10/11/2010,180000,119.205298,1510,1972
"261 S Mills Ave Lodi, CA 95242",95242,2,2,1,3,0,159900,75.57,7841,5/3/2010,8/20/2010,NONO,10/22/2010,157900,74.62192817,2116,1921
"642 Carlo Way Lodi, CA 95240-1932",95240,1,2,0,2,0,200000,133.69,9148,5/5/2010,8/2/2010,NONO,8/12/2010,175000,116.9786096,1496,1952
"1233 Brandywine Dr Lodi, CA 95240-7421",95240,3,2,1,4,0,199900,85.46,6534,5/7/2010,7/26/2010,NONO,9/29/2010,179000,76.52843095,2339,1986
"509 Windsor Dr Lodi, CA 95240-5227",95240,1,1,1,2,0,164950,118.75,6534,5/15/2010,6/15/2010,NONO,7/16/2010,155000,111.5910727,1389,1956
