Address,Address - Zip Code,# of Garage Spaces,Bathrooms - Full,Bathrooms - Half,Bedrooms,HOA Dues,Listing Price,Price_Per_SQFT_LISTING,Lot Size - Sq Ft,Listing Date,Pending Date,Pool,Selling Date,Selling Price,Selling_Price_Per_Sqft,Square Footage,Year Built
"22 W Vine St Lodi, CA 95240-4744",95240,1,1,2,4,0,120000,64.45,5227,11/13/2009,11/27/2009,NONO,2/1/2010,120000,64.44683136,1862,1947
"407 W Elm St Lodi, CA 95240-2005",95240,2,1,0,4,0,210000,100.38,10019,11/16/2009,4/21/2010,NONO,5/21/2010,201000,96.08030593,2092,1902
"1512 S School St Lodi, CA 95240-6250",95240,2,1,0,3,0,95900,89.29,4792,11/16/2009,12/4/2009,NONO,1/26/2010,118000,109.8696462,1074,1955
"1819 Blackbird Ct Lodi, CA 95240-8863",95240,2,2,0,3,0,223000,168.56,9148,11/17/2009,1/22/2010,NONO,3/19/2010,210000,158.7301587,1323,2001
"1418 Bordeau Dr Lodi, CA 95242-4505",95242,2,2,0,3,0,195000,123.18,6534,11/17/2009,2/21/2010,NONO,5/7/2010,185000,116.8667088,1583,1983
"1227 Liebig St Lodi, CA 95240-5928",95240,2,2,0,3,0,134900,124.91,5663,11/18/2009,12/2/2009,NONO,1/21/2010,130000,120.3703704,1080,1959
"175 Mulberry Cir Lodi, CA 95240-7158",95240,2,2,0,3,0,149900,112.45,5227,11/20/2009,1/18/2010,NONO,2/26/2010,149900,112.4531133,1333,1978
"251 Mulberry Cir Lodi, CA 95240-7153",95240,0,2,0,3,0,149900,112.45,6534,11/20/2009,2/1/2010,YESY,3/5/2010,150000,112.528132,1333,1978
"221 Redwood St Lodi, CA 95240-4807",95240,2,2,0,3,0,104900,96.06,5227,12/8/2009,12/15/2009,NONO,1/20/2010,104900,96.06227106,1092,2004
"1326 S School St Lodi, CA 95240-5710",95240,1,1,1,4,0,84900,54.01,7841,12/9/2009,1/4/2010,YESY,1/21/2010,85000,54.07124682,1572,1910
"2318 Medallion Way Lodi, CA 95242-4749",95242,3,3,0,5,0,320000,106.67,5663,12/10/2009,9/30/2010,NONO,9/30/2010,320000,106.6666667,3000,1997
"1705 Cape Cod Cir Lodi, CA 95242-4202",95242,2,2,1,3,250,215900,93.26,6098,11/30/2009,12/21/2009,NONO,2/26/2010,216000,93.30453564,2315,1986
"218 Arcadia Pl Lodi, CA 95240-8891",95240,2,2,1,4,0,272160,126.06,5227,12/10/2009,1/14/2010,NONO,2/26/2010,260000,120.4261232,2159,2003
"745 S Pleasant Ave Lodi, CA 95240-4733",95240,2,1,0,2,0,159900,175.33,5227,12/10/2009,3/24/2010,NONO,4/13/2010,159900,175.3289474,912,1947
"1132 Glenhurst Dr Lodi, CA 95240-5522",95240,1,1,1,3,0,119900,108.61,4792,12/1/2009,1/15/2010,NONO,2/11/2010,125000,113.2246377,1104,1962
"217 Hilborn St Lodi, CA 95240-4141",95240,1,1,0,2,0,65000,67.57,6970,12/2/2009,6/5/2010,NONO,8/13/2010,65000,67.56756757,962,1918
"601 Tamarack Dr Lodi, CA 95240-6019",95240,0,1,0,2,0,124000,121.45,5663,12/2/2009,1/14/2010,NONO,1/29/2010,115100,112.7326151,1021,1952
"25 Tamarack Dr Lodi, CA 95240-5746",95240,2,2,1,3,0,99000,66.35,2178,12/2/2009,5/10/2010,NONO,7/2/2010,124000,83.10991957,1492,1992
"700 W Vine St Lodi, CA 95240-5226",95240,1,1,0,2,0,173600,170.03,5227,12/2/2009,12/8/2009,NONO,1/8/2010,169000,165.5239961,1021,1956
"428-1/2 W Locust St Lodi, CA 95240-2018",95240,1,1,0,2,0,129900,167.4,3049,12/7/2009,3/12/2010,NONO,5/6/2010,117000,150.7731959,776,1956
"1701 Lakeshore Dr Lodi, CA 95242-4223",95242,2,2,1,4,750,425000,184.94,7405,12/7/2009,1/5/2010,NONO,2/18/2010,400000,174.0644038,2298,1985
"223 Hartford Dr Lodi, CA 95240-7895",95240,2,2,0,3,0,239900,170.38,5663,12/5/2009,12/29/2009,NONO,2/9/2010,233000,165.4829545,1408,1999
"1721 Corbin Ct Lodi, CA 95242-3410",95242,2,2,1,3,0,230000,147.53,8712,1/3/2010,8/31/2010,NONO,10/13/2010,225500,144.6440026,1559,1966
"2203 S Ham Ln Lodi, CA 95242-4543",95242,2,2,0,3,0,184900,109.86,6970,1/2/2010,7/1/2010,NONO,7/1/2010,190000,112.8936423,1683,1980
"509 Ribier Ave Lodi, CA 95240-5620",95240,1,1,0,2,0,129500,136.6,6098,1/5/2010,2/5/2010,NONO,4/16/2010,145000,152.9535865,948,1950
"1031 Downing Dr Lodi, CA 95242-3818",95242,2,1,1,3,0,169000,161.26,4792,12/9/2009,12/28/2009,NONO,1/6/2010,164000,156.4885496,1048,1973
"729 S Mills Ave Lodi, CA 95242-3563",95242,2,2,0,3,0,229900,116.58,7405,1/5/2010,4/8/2010,YESY,5/25/2010,229900,116.5821501,1972,1968
"805 S Rose St Lodi, CA 95240-4624",95240,2,2,1,4,0,279900,174.07,5663,1/22/2010,2/23/2010,NONO,4/8/2010,265000,164.800995,1608,1961
"343 N Stockton St Lodi, CA 95240-0605",95240,1,1,0,2,0,80000,71.94,7405,12/12/2009,1/6/2010,NONO,2/24/2010,94000,84.5323741,1112,1937
"1539 Magic Ln Lodi, CA 95242-3912",95242,2,3,0,3,0,350000,146.14,5227,12/13/2009,12/21/2009,NONO,1/29/2010,345000,144.0501044,2395,2003
"217 Meadowlark Way Lodi, CA 95240-8837",95240,2,2,0,3,0,209900,130.05,8276,12/17/2009,1/27/2010,NONO,3/8/2010,216000,133.8289963,1614,2000
"801 S Sacramento St Lodi, CA 95240-4709",95240,0,1,1,3,0,53460,47.73,13068,12/18/2009,12/24/2009,NONO,1/13/2010,54100,48.30357143,1120,1949
"1848 Blackbird Pl Lodi, CA 95240-8861",95240,2,2,0,3,0,224950,168.25,5663,1/15/2010,2/3/2010,NONO,3/22/2010,215000,160.8077786,1337,2000
"1408 W Park St, Lodi, CA 95242-3837",95242,1,1,0,3,0,160000,166.67,5227,12/17/2009,4/1/2010,NONO,4/20/2010,160000,166.6666667,960,1964
"523 S School St Lodi, CA 95240-4004",95240,0,1,1,4,0,195900,101.61,7405,12/24/2009,3/20/2010,YESY,4/30/2010,175000,90.76763485,1928,1895
"513 N Sunset Dr Lodi, CA 95240-1629",95240,0,1,0,3,0,179950,171.22,5227,12/26/2009,1/5/2010,NONO,2/8/2010,184000,175.0713606,1051,1955
"727 N Crescent Ave Lodi, CA 95240-0901",95240,1,1,0,3,0,145000,142.16,6534,12/29/2009,2/11/2010,NONO,3/26/2010,145000,142.1568627,1020,1953
"910 Windsor Dr Lodi, CA 95240-5128",95240,2,1,0,2,0,155000,113.22,7841,12/30/2009,1/28/2010,NONO,2/8/2010,162100,118.4075968,1369,1956
"430 1st St Lodi, CA 95240-1040",95240,1,1,0,2,0,129900,159.58,5227,1/21/2010,1/22/2010,NONO,2/24/2010,129900,159.5823096,814,1949
"1730 S Sacramento St Lodi, CA 95240-6228",95240,2,2,0,3,0,124900,109.37,5227,1/21/2010,5/26/2010,NONO,7/21/2010,125000,109.4570928,1142,1985
"708 James St Lodi, CA 95242-2207",95242,2,1,0,2,0,169950,137.95,4792,1/22/2010,1/30/2010,NONO,2/26/2010,169950,137.9464286,1232,1967
"425 S Lee Ave Lodi, CA 95240-4024",95240,2,2,0,3,0,229000,132.98,6970,1/22/2010,2/8/2010,NONO,4/2/2010,218000,126.5969803,1722,1954
"1955 Victoria Dr Lodi, CA 95242-4768",95242,3,3,0,4,0,344000,151.34,7405,1/24/2010,4/12/2010,NONO,5/11/2010,333500,146.7223933,2273,2004
"514 W Lockeford St Lodi, CA 95240-1958",95240,2,1,0,2,0,94900,89.19,6098,1/6/2010,2/18/2010,NONO,3/15/2010,100750,94.68984962,1064,1936
"209 S Fairmont Ave Lodi, CA 95240-3331",95240,2,1,0,2,0,315000,222.61,7841,1/10/2010,8/23/2010,NONO,8/26/2010,280000,197.8798587,1415,1941
"2073 Gateway Cir Lodi, CA 95240-6728",95240,3,3,0,3,100,279000,129.47,13939,1/8/2010,3/20/2010,YESY,4/15/2010,260000,120.649652,2155,1977
"181 Hemlock Dr Lodi, CA 95240-6736",95240,2,2,0,4,0,120650,104.73,6098,1/13/2010,3/12/2010,YESY,3/27/2010,116000,100.6944444,1152,1974
"531 S School St Lodi, CA 95240-4004",95240,2,2,0,3,0,189000,107.14,8712,1/25/2010,3/8/2010,NONO,4/6/2010,199000,112.8117914,1764,2003
"605 Tamarack Dr Lodi, CA 95240-6019",95240,2,1,0,2,0,149900,147.11,5663,1/15/2010,3/22/2010,NONO,4/30/2010,147000,144.2590775,1019,1953
"700 Mccoy Ct #16 Lodi, CA 95240-8103",95240,1,1,0,2,225,39200,45.96,0,1/15/2010,6/30/2010,YESY,9/2/2010,43500,50.996483,853,1982
"618 Nevins Dr Lodi, CA 95242-3567",95242,2,3,1,5,0,339900,116.52,6098,1/18/2010,5/14/2010,NONO,6/17/2010,335000,114.8440178,2917,1980
"1318 Robinson Ln Lodi, CA 95242-3929",95242,2,2,1,3,0,194900,131.6,3485,1/19/2010,3/23/2010,NONO,5/3/2010,206000,139.0952059,1481,2004
"801 S Rose St Lodi, CA 95240-4624",95240,2,2,0,4,0,250000,144.09,7405,1/20/2010,7/15/2010,NONO,8/13/2010,225000,129.6829971,1735,1966
"9 N Ham Lodi, CA 95240",95240,2,1,0,2,0,115920,71.03,8276,2/4/2010,4/16/2010,NONO,7/6/2010,95000,58.21078431,1632,1961
"1700 Mariposa Way Lodi, CA 95242-2535",95242,1,2,0,3,0,190000,173.36,5663,2/5/2010,2/12/2010,NONO,4/2/2010,192000,175.1824818,1096,1954
"1712 W Pine St Lodi, CA 95242-3145",95242,2,1,1,3,0,159900,133.25,5227,2/6/2010,6/30/2010,NONO,6/30/2010,170000,141.6666667,1200,1961
"220 Olive Ct Lodi, CA 95240-1119",95240,1,1,0,2,0,54900,56.77,4792,2/7/2010,2/9/2010,NONO,3/12/2010,58000,59.97931748,967,1906
"1120 Holly Dr Lodi, CA 95240-1618",95240,2,2,0,3,0,179000,155.65,5663,2/8/2010,3/19/2010,NONO,4/28/2010,175000,152.173913,1150,1955
"589 Westwood Ave Lodi, CA 95242-2456",95242,1,1,0,3,0,176000,172.04,6098,2/10/2010,4/3/2010,NONO,5/7/2010,179000,174.9755621,1023,1955
"32 N Pacific Ave Lodi, CA 95242-3017",95242,2,2,0,3,0,134900,97.61,6970,2/12/2010,4/1/2010,NONO,4/23/2010,123000,89.00144718,1382,1958
"1311 W Century Blvd #62 Lodi, CA 95242-4529",95242,1,2,0,2,185,89900,91.27,0,2/10/2010,2/16/2010,NONO,4/22/2010,89900,91.26903553,985,1984
"1100 Holly Dr Lodi, CA 95240-1624",95240,2,1,0,3,0,141900,130.9,5663,2/12/2010,4/22/2010,NONO,6/4/2010,142500,131.4575646,1084,1956
"726 W Lockeford St Lodi, CA 95240-1949",95240,2,1,0,2,0,124900,119.64,5227,2/13/2010,3/29/2010,NONO,4/9/2010,124900,119.6360153,1044,1938
"1100 Graffigna Ave Lodi, CA 95240-1612",95240,2,1,0,3,0,124950,116.88,5227,1/23/2010,3/17/2010,NONO,4/23/2010,135000,126.2862488,1069,1956
"1112 Brandywine Dr Lodi, CA 95240-7420",95240,2,2,0,3,0,79900,72.77,4792,1/27/2010,2/4/2010,NONO,2/12/2010,83500,76.04735883,1098,1986
"1123 Dover Dr Lodi, CA 95242-3814",95242,2,2,1,3,0,199000,147.19,4792,1/28/2010,3/26/2010,NONO,5/3/2010,196000,144.9704142,1352,1974
"1311 W Century Blvd #19 Lodi, CA 95242-4524",95242,1,2,0,2,185,79000,80.2,0,1/27/2010,3/15/2010,YESY,3/27/2010,70000,71.06598985,985,1984
"1013 Dartmoor Cir Lodi, CA 95240-6607",95240,2,2,0,3,0,139500,105.36,3485,1/30/2010,7/12/2010,NONO,7/14/2010,117500,88.74622356,1324,1974
"2245 S Mills Ave Lodi, CA 95242-4758",95242,0,3,0,3,0,354900,157.94,7841,3/5/2010,4/5/2010,YESY,5/5/2010,325000,144.6372942,2247,2003
"835 S Pleasant Ave Lodi, CA 95240-4735",95240,2,2,0,3,0,154950,118.1,6970,2/1/2010,4/30/2010,YESY,6/28/2010,155000,118.1402439,1312,1939
"1011 W Walnut St Lodi, CA 95240-3322",95240,1,2,2,3,0,290000,153.85,7841,2/2/2010,5/2/2011,YESY,6/7/2011,250000,132.6259947,1885,1945
"1549 Bird Ln Lodi, CA 95242-3914",95242,2,2,1,3,0,350000,169.08,4792,2/3/2010,5/11/2010,YESY,8/20/2010,340000,164.2512077,2070,2003
"1416 Mariposa Way Lodi, CA 95242-2949",95242,1,1,1,3,0,179000,166.82,6534,2/3/2010,2/6/2010,NONO,4/14/2010,189000,176.1416589,1073,1963
"1617 Kent Dr Lodi, CA 95242-3828",95242,2,2,0,3,0,199900,150.19,5663,2/19/2010,2/22/2010,NONO,3/5/2010,201700,151.5401953,1331,1974
"417 1st St Lodi, CA 95240-1039",95240,1,1,0,2,0,106900,98.62,4792,2/18/2010,2/22/2010,NONO,4/29/2010,115000,106.0885609,1084,1948
"1334 Arundel Ct Lodi, CA 95242-4501",95242,2,2,0,3,0,250000,111.96,9583,2/18/2010,6/30/2010,NONO,7/23/2010,263000,117.778773,2233,1978
"1918 W Locust St Lodi, CA 95242-2522",95242,2,2,0,3,0,209900,156.64,5663,2/16/2010,3/14/2010,NONO,4/2/2010,205000,152.9850746,1340,1960
"1912 W Locust St Lodi, CA 95242-2522",95242,1,2,0,4,0,199000,110.93,5663,2/20/2010,3/22/2010,NONO,5/7/2010,207000,115.3846154,1794,1960
"231 S Avena Ave Lodi, CA 95240-3335",95240,2,1,1,3,0,144900,80.63,6970,2/16/2010,9/7/2010,NONO,9/17/2010,145000,80.69003895,1797,1942
"1111 Dartmoor Cir Lodi, CA 95240-6609",95240,2,2,0,3,0,154900,120.45,3485,2/23/2010,3/1/2010,NONO,5/17/2010,159000,123.6391913,1286,1974
"2241 Newbury Cir Lodi, CA 95240-6614",95240,2,2,0,3,0,200000,147.93,4356,2/25/2010,4/20/2010,NONO,5/19/2010,180000,133.1360947,1352,1977
"508 Westwood Ave Lodi, CA 95242-2455",95242,1,1,0,3,0,115990,118,6098,3/2/2010,3/10/2010,NONO,5/28/2010,118500,120.5493388,983,1955
"825 Mariposa Way Lodi, CA 95240-1821",95240,2,2,0,3,0,299000,151.16,8276,3/1/2010,4/26/2010,NONO,6/16/2010,285000,144.0849343,1978,1963
"700 Mccoy Ct #28 Lodi, CA 95240-8106",95240,1,1,0,2,225,54000,63.08,0,3/3/2010,5/24/2010,NONO,6/10/2010,49000,57.24299065,856,1982
"746 S Lee Ave Lodi, CA 95240-4602",95240,2,1,1,2,0,189000,140.31,7841,3/2/2010,5/5/2010,NONO,8/4/2010,171500,127.3199703,1347,1951
"212 Louie Ave Lodi, CA 95240-1114",95240,2,1,0,2,0,129000,107.32,8712,3/3/2010,4/26/2010,NONO,6/30/2010,100000,83.19467554,1202,1917
"17 W Vine St Lodi, CA 95240",95240,2,1,1,3,0,149900,101.77,6534,3/22/2010,4/13/2010,NONO,5/3/2010,149900,101.7651052,1473,1931
"930 W Tokay St Lodi, CA 95240-3930",95240,2,2,1,3,0,155000,124.2,6098,2/15/2010,11/3/2010,NONO,12/16/2010,146000,116.9871795,1248,1958
"1523 Lexington Dr Lodi, CA 95242-4782",95242,3,2,0,3,0,345000,156.89,6970,2/16/2010,8/22/2010,YESY,9/28/2010,345000,156.8894952,2199,2005
"310 N Mills Ave Lodi, CA 95242-2542",95242,2,2,0,4,0,149900,113.22,4792,3/23/2010,5/5/2010,NONO,5/18/2010,140000,105.7401813,1324,1961
"1419 S School St Lodi, CA 95240-6218",95240,0,1,0,3,0,99900,105.38,6098,2/16/2010,4/21/2010,NONO,6/30/2010,102000,107.5949367,948,1954
"2321 Rockingham Cir Lodi, CA 95242-4554",95242,2,3,0,6,0,374950,121.11,13939,2/16/2010,3/5/2010,NONO,4/21/2010,360000,116.2790698,3096,1980
"525 Saint Claire Dr Lodi, CA 95240-4626",95240,2,2,0,3,0,299500,202.5,6970,2/17/2010,3/25/2010,NONO,4/27/2010,290000,196.0784314,1479,1962
"635 Daisy Ave Lodi, CA 95240-0950",95240,2,2,0,2,0,160000,118.52,5663,3/5/2010,6/1/2010,NONO,7/23/2010,152000,112.5925926,1350,1957
"107 W Lockeford St Lodi, CA 95240-2108",95240,0,2,0,2,0,180000,125.35,7841,3/9/2010,3/9/2010,NONO,3/19/2010,180000,125.3481894,1436,1907
"130 Ridge Dr Lodi, CA 95240-6739",95240,2,2,0,3,0,165000,125.86,8276,3/10/2010,4/30/2010,NONO,5/14/2010,160000,122.044241,1311,1974
"421 N School St Lodi, CA 95240-1228",95240,1,1,0,2,0,98000,100.62,6970,3/14/2010,5/4/2010,NONO,6/4/2010,92000,94.45585216,974,1930
"705 S Rose St Lodi, CA 95240",95240,2,2,0,3,0,189750,144.85,6098,3/15/2010,4/14/2010,NONO,6/1/2010,182000,138.9312977,1310,1957
"2011 Scarborough Dr Lodi, CA 95240-6616",95240,2,2,0,3,0,190000,110.66,7405,3/12/2010,5/7/2010,NONO,8/5/2010,215000,125.2184042,1717,1978
"1330 Arundel Ct Lodi, CA 95242-4501",95242,2,3,0,5,0,385000,146.11,15246,3/28/2010,5/13/2010,YESY,5/21/2010,370000,140.4174573,2635,1978
"834 S Lee Ave Lodi, CA 95240-4604",95240,2,2,0,2,0,199000,158.69,7405,4/5/2010,5/27/2010,YESY,8/17/2010,200000,159.4896332,1254,1942
"1706 Tienda Dr Lodi, CA 95242-3936",95242,2,3,0,4,0,299000,113.34,4792,3/16/2010,7/2/2011,NONO,7/15/2011,299000,113.343442,2638,2006
"1801 W Walnut St Lodi, CA 95242-3159",95242,2,1,1,3,0,150000,148.08,5663,3/17/2010,4/7/2010,NONO,4/14/2010,146000,144.1263574,1013,1961
"727 Pinot Noir Dr Lodi, CA 95240-7409",95240,2,2,0,3,0,160000,139.98,6534,3/18/2010,6/24/2010,NONO,9/3/2010,160000,139.9825022,1143,1980
"519 N Fairmont Ave Lodi, CA 95240-1615",95240,2,1,0,3,0,139900,131.98,6098,4/8/2010,4/12/2010,NONO,5/18/2010,144500,136.3207547,1060,1956
"14 N Avena Ave Lodi, CA 95240-2808",95240,2,2,1,3,0,279900,115.38,8276,2/25/2010,3/14/2011,YESY,3/24/2011,229000,94.3940643,2426,1960
"1200 W Lodi Ave Lodi, CA 95240-3316",95240,2,2,0,3,0,235000,134.59,6534,3/12/2010,3/29/2010,NONO,5/21/2010,241000,138.0297824,1746,1941
"204 Eden St Lodi, CA 95240-4110",95240,3,3,0,5,0,155000,86.11,6970,3/17/2010,9/16/2010,NONO,12/7/2010,158165,87.86944444,1800,2006
"2250 Scarborough Dr #6 Lodi, CA 95240-6643",95240,1,1,1,2,184,130000,119.05,0,3/4/2010,9/28/2010,YESY,10/15/2010,129000,118.1318681,1092,1991
"1806 S Church St Lodi, CA 95240-6278",95240,2,2,0,3,0,139900,122.5,4792,3/5/2010,5/6/2010,NONO,5/27/2010,135000,118.2136602,1142,1985
"209 E Oak St Lodi, CA 95240-2915",95240,0,2,0,3,0,95000,62.25,6534,3/6/2010,7/27/2010,NONO,12/31/2010,110000,72.08387942,1526,1920
"1626 Autumn Way Lodi, CA 95242-4414",95242,2,2,1,3,0,239500,112.71,4792,4/14/2010,9/3/2010,NONO,10/22/2010,230000,108.2352941,2125,1987
"820 w. vine Lodi, CA 95240",95240,2,1,0,3,0,154900,119.98,7841,3/8/2010,3/12/2010,NONO,4/20/2010,154000,119.2873741,1291,1956
"906 Virginia Ave Lodi, CA 95242-3582",95242,2,3,1,3,0,259900,111.16,6970,3/5/2010,4/28/2010,YESY,8/20/2010,233000,99.6578272,2338,1970
"1819 Lake St Lodi, CA 95242-2440",95242,2,2,0,4,0,175000,125.9,4792,3/5/2010,5/12/2010,NONO,6/18/2010,165000,118.705036,1390,1965
"617 W Locust St Lodi, CA 95240-1953",95240,2,1,0,2,0,199000,155.59,5663,3/29/2010,3/30/2010,NONO,5/18/2010,190000,148.5535575,1279,1920
"604 Windsor Dr Lodi, CA 95240-5230",95240,2,2,0,3,0,159900,104.24,6534,4/23/2010,4/28/2010,NONO,9/16/2010,168000,109.517601,1534,1954
"1805 Cape Cod Cir Lodi, CA 95242-4208",95242,2,2,0,2,290,194500,202.82,4792,3/31/2010,4/6/2010,YESY,5/3/2010,194500,202.8154327,959,1984
"105 S Sunset Dr Lodi, CA 95240-3317",95240,2,2,0,3,0,329000,213.08,6970,3/30/2010,6/16/2010,YESY,7/19/2010,305000,197.5388601,1544,1955
"924 Pinot Noir Dr Lodi, CA 95240-7427",95240,2,2,0,3,0,229000,109.52,8276,3/31/2010,6/23/2010,NONO,9/2/2010,230000,109.9952176,2091,1984
"718 Cross St Lodi, CA 95242-2409",95242,2,2,0,2,0,175000,130.6,6534,4/1/2010,4/26/2010,NONO,5/18/2010,175000,130.5970149,1340,1953
"1144 Port Chelsea Cir Lodi, CA 95240-7035",95240,2,2,0,4,0,269950,147.43,7405,4/7/2010,8/21/2010,YESY,9/24/2010,269950,147.4330967,1831,1978
"1741 Cape Cod Cir Lodi, CA 95242-4202",95242,2,2,0,3,290,169500,138.71,4356,4/7/2010,8/20/2010,YESY,8/20/2010,165000,135.0245499,1222,1984
"517 W Pine St Lodi, CA 95240-1934",95240,1,1,1,3,0,233000,101.57,5227,4/7/2010,4/30/2010,NONO,5/11/2010,281000,122.4934612,2294,1922
"1106 Stafford St Lodi, CA 95242-3852",95242,2,2,0,4,0,259900,154.24,6969,4/8/2010,4/14/2010,YESY,5/28/2010,270000,160.2373887,1685,1972
"220 Meadowlark Way Lodi, CA 95240-8837",95240,2,2,0,3,0,204950,155.74,5663,4/13/2010,5/25/2010,NONO,6/28/2010,195000,148.1762918,1316,2000
"700 Mccoy Ct #4 Lodi, CA 95240-8103",95240,1,1,0,2,225,75000,87.92,0,5/3/2010,8/11/2010,YESY,11/12/2010,65000,76.20164127,853,1982
"710 Atherton Dr Lodi, CA 95242-3504",95242,2,2,1,3,0,237900,100.13,6534,4/12/2010,12/3/2010,YESY,12/22/2010,237900,100.1262626,2376,1978
"431 Eureka Ave Lodi, CA 95240-1013",95240,2,1,0,2,0,139900,128.58,6534,4/13/2010,6/4/2010,NONO,8/9/2010,135000,124.0808824,1088,1950
"812 S Stockton St Lodi, CA 95240-4812",95240,0,2,0,4,0,89900,128.43,14810,4/14/2010,6/14/2010,NONO,7/7/2010,101000,144.2857143,700,
"1910 Reisling Dr Lodi, CA 95240-6117",95240,2,2,0,3,0,218000,143.14,6970,3/20/2010,9/22/2010,YESY,10/8/2010,218000,143.1385424,1523,1979
"1945 Jamestown Dr Lodi, CA 95242-4706",95242,2,2,0,3,0,174500,154.42,4792,3/23/2010,8/23/2010,NONO,9/10/2010,174500,154.4247788,1130,1994
